Size_Bytes,Price,Free,DeveloperId,Reviews,Current_Version_Score,Current_Version_Reviews,Primary_Genre_Book,Primary_Genre_Business,Primary_Genre_Education,Primary_Genre_Entertainment,Primary_Genre_Finance,Primary_Genre_Food & Drink,Primary_Genre_Games,Primary_Genre_Health & Fitness,Primary_Genre_Lifestyle,Primary_Genre_Medical,Primary_Genre_Music,Primary_Genre_Navigation,Primary_Genre_News,Primary_Genre_Photo & Video,Primary_Genre_Productivity,Primary_Genre_Reference,Primary_Genre_Shopping,Primary_Genre_Social Networking,Primary_Genre_Sports,Primary_Genre_Travel,Primary_Genre_Utilities,Content_Rating_12+,Content_Rating_17+,Content_Rating_4+,Content_Rating_9+,Average_User_Rating
13135872.0,0.0,1.0,1031572001.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
26133504.0,0.0,1.0,1253337114.0,1285.0,4.78132,1285.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.78132
63112192.0,0.0,1.0,1473747716.0,1839.0,4.78902,1839.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.78902
3095552.0,1.99,0.0,354615800.0,242.0,4.67354,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.67354
2094080.0,0.99,0.0,295775659.0,21.0,3.09524,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.09524
45278208.0,4.99,0.0,974773922.0,60.0,3.88333,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.88333
80515072.0,4.99,0.0,974773922.0,83.0,4.13253,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.13253
26713088.0,0.0,1.0,1253337114.0,533.0,4.75047,533.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.75047
48664576.0,0.0,1.0,1496559863.0,15.0,4.06667,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.06667
61285376.0,0.0,1.0,421654582.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
